Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0603_1608Metric",-268.268750,-56.706218,0.000000,bottom
"C2","22pF","C_0603_1608Metric",-272.256250,-59.531250,-90.000000,bottom
"C3","1uF","C_0603_1608Metric",-237.331250,-69.556218,180.000000,bottom
"C4","0.1uF","C_0603_1608Metric",-250.347750,-65.875000,180.000000,bottom
"C5","0.1uF","C_0603_1608Metric",-253.206250,-63.500000,180.000000,bottom
"C6","10uF","C_0603_1608Metric",-268.287500,-67.468750,45.000000,bottom
"C7","4.7nF","C_0603_1608Metric",-252.647750,-38.893750,180.000000,bottom
"D1","D_Small","D_SOD-123",-45.047750,-44.447518,90.000000,bottom
"D2","D_Small","D_SOD-123",-63.747750,-44.447518,90.000000,bottom
"D3","D_Small","D_SOD-123",-82.347750,-44.447518,90.000000,bottom
"D4","D_Small","D_SOD-123",-101.047750,-44.447518,90.000000,bottom
"D5","D_Small","D_SOD-123",-119.747750,-44.447518,90.000000,bottom
"D6","D_Small","D_SOD-123",-138.347750,-44.447518,90.000000,bottom
"D7","D_Small","D_SOD-123",-157.047750,-44.447518,90.000000,bottom
"D8","D_Small","D_SOD-123",-175.747750,-44.447518,90.000000,bottom
"D9","D_Small","D_SOD-123",-194.447750,-44.447518,90.000000,bottom
"D10","D_Small","D_SOD-123",-213.147750,-44.447518,90.000000,bottom
"D11","D_Small","D_SOD-123",-231.547750,-48.418750,90.000000,bottom
"D12","D_Small","D_SOD-123",-248.047750,-48.416018,90.000000,bottom
"D13","D_Small","D_SOD-123",-269.147750,-45.243750,90.000000,bottom
"D14","D_Small","D_SOD-123",-47.625000,-63.500000,90.000000,bottom
"D15","D_Small","D_SOD-123",-69.056250,-63.500000,90.000000,bottom
"D16","D_Small","D_SOD-123",-88.106250,-63.500000,90.000000,bottom
"D17","D_Small","D_SOD-123",-107.156250,-63.496318,90.000000,bottom
"D18","D_Small","D_SOD-123",-126.206250,-63.496318,90.000000,bottom
"D19","D_Small","D_SOD-123",-145.256250,-63.500000,90.000000,bottom
"D20","D_Small","D_SOD-123",-164.306250,-63.500000,90.000000,bottom
"D21","D_Small","D_SOD-123",-183.356250,-63.496318,90.000000,bottom
"D22","D_Small","D_SOD-123",-202.406250,-63.496318,90.000000,bottom
"D23","D_Small","D_SOD-123",-221.456250,-63.496318,90.000000,bottom
"D24","D_Small","D_SOD-123",-244.475000,-63.496318,90.000000,bottom
"D25","D_Small","D_SOD-123",-247.650000,-63.496318,90.000000,bottom
"D26","D_Small","D_SOD-123",-46.831250,-86.193750,90.000000,bottom
"D27","D_Small","D_SOD-123",-59.531250,-82.545118,90.000000,bottom
"D28","D_Small","D_SOD-123",-78.581250,-82.550000,90.000000,bottom
"D29","D_Small","D_SOD-123",-97.631250,-82.550000,90.000000,bottom
"D30","D_Small","D_SOD-123",-116.681250,-82.545118,90.000000,bottom
"D31","D_Small","D_SOD-123",-135.731250,-82.545118,90.000000,bottom
"D32","D_Small","D_SOD-123",-154.781250,-82.550000,90.000000,bottom
"D33","D_Small","D_SOD-123",-173.831250,-82.550000,90.000000,bottom
"D34","D_Small","D_SOD-123",-192.881250,-82.545118,90.000000,bottom
"D35","D_Small","D_SOD-123",-211.931250,-82.545118,90.000000,bottom
"D36","D_Small","D_SOD-123",-230.981250,-82.550000,90.000000,bottom
"D37","D_Small","D_SOD-123",-238.918750,-84.931250,0.000000,bottom
"D38","D_Small","D_SOD-123",-263.525000,-86.518750,0.000000,bottom
"D39","D_Small","D_SOD-123",-47.625000,-101.593918,90.000000,bottom
"D40","D_Small","D_SOD-123",-69.056250,-101.593918,90.000000,bottom
"D41","D_Small","D_SOD-123",-90.487500,-101.600000,90.000000,bottom
"D42","D_Small","D_SOD-123",-119.062500,-101.600000,90.000000,bottom
"D43","D_Small","D_SOD-123",-157.162500,-101.600000,90.000000,bottom
"D44","D_Small","D_SOD-123",-179.387500,-101.600000,90.000000,bottom
"D45","D_Small","D_SOD-123",-211.931250,-101.600000,90.000000,bottom
"D46","D_Small","D_SOD-123",-230.981250,-101.600000,90.000000,bottom
"D47","D_Small","D_SOD-123",-250.031250,-101.593918,90.000000,bottom
"D48","D_Small","D_SOD-123",-256.381250,-101.600000,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",-256.747750,-43.656218,90.000000,bottom
"R1","10k","R_0603_1608Metric",-245.268750,-73.818750,0.000000,bottom
"R2","22","R_0603_1608Metric",-236.947750,-49.456218,90.000000,bottom
"R3","22","R_0603_1608Metric",-239.147750,-49.456218,90.000000,bottom
"R4","10k","R_0603_1608Metric",-257.143750,-82.550000,90.000000,bottom
"R5","5.1k","R_0603_1608Metric",-238.547750,-36.356218,180.000000,bottom
"R6","5.1k","R_0603_1608Metric",-252.647750,-36.356218,0.000000,bottom
"R7","1M","R_0603_1608Metric",-238.547750,-38.893750,180.000000,bottom
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",-236.056250,-73.818750,-90.000000,bottom
"U1","ATmega32U4-M","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",-256.747750,-72.231218,135.000000,bottom
"U2","PRTR5V0U2X","SOT-143",-238.047750,-44.956218,0.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12",-245.665750,-31.633718,0.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",-269.081250,-59.531250,0.000000,bottom
