Ref,Val,Package,PosX,PosY,Rot,Side
"MX1","MX-NoLED","MXOnly-1U-NoLED",41.907750,-43.656218,0.000000,top
"MX2","MX-NoLED","MXOnly-1U-NoLED",60.587750,-43.656218,0.000000,top
"MX3","MX-NoLED","MXOnly-1U-NoLED",79.267750,-43.656218,0.000000,top
"MX4","MX-NoLED","MXOnly-1U-NoLED",97.947750,-43.656218,0.000000,top
"MX5","MX-NoLED","MXOnly-1U-NoLED",116.627750,-43.656218,0.000000,top
"MX6","MX-NoLED","MXOnly-1U-NoLED",135.307750,-43.656218,0.000000,top
"MX7","MX-NoLED","MXOnly-1U-NoLED",153.987750,-43.656218,0.000000,top
"MX8","MX-NoLED","MXOnly-1U-NoLED",172.667750,-43.656218,0.000000,top
"MX9","MX-NoLED","MXOnly-1U-NoLED",191.347750,-43.656218,0.000000,top
"MX10","MX-NoLED","MXOnly-1U-NoLED",210.027750,-43.656218,0.000000,top
"MX11","MX-NoLED","MXOnly-1U-NoLED",228.707750,-43.656218,0.000000,top
"MX12","MX-NoLED","MXOnly-1U-NoLED",247.387750,-43.656218,180.000000,top
"MX13","MX-NoLED","MXOnly-1U-NoLED",266.067750,-43.656218,0.000000,top
"MX14","MX-NoLED","MXOnly-1.25U-NoLED",44.450000,-62.706250,0.000000,top
"MX15","MX-NoLED","MXOnly-1U-NoLED",65.881250,-62.706250,0.000000,top
"MX16","MX-NoLED","MXOnly-1U-NoLED",84.931250,-62.706218,0.000000,top
"MX17","MX-NoLED","MXOnly-1U-NoLED",103.981250,-62.706250,0.000000,top
"MX18","MX-NoLED","MXOnly-1U-NoLED",123.031250,-62.706250,0.000000,top
"MX19","MX-NoLED","MXOnly-1U-NoLED",142.081250,-62.706250,0.000000,top
"MX20","MX-NoLED","MXOnly-1U-NoLED",161.131250,-62.706250,0.000000,top
"MX21","MX-NoLED","MXOnly-1U-NoLED",180.181250,-62.706250,0.000000,top
"MX22","MX-NoLED","MXOnly-1U-NoLED",199.231250,-62.706250,0.000000,top
"MX23","MX-NoLED","MXOnly-1U-NoLED",218.281250,-62.706218,0.000000,top
"MX24","MX-NoLED","MXOnly-1U-NoLED",237.331250,-62.706250,0.000000,top
"MX25","MX-NoLED","MXOnly-1.5U-NoLED",261.143750,-62.706218,0.000000,top
"MX26","MX-NoLED","MXOnly-1U-NoLED",56.356250,-81.756250,0.000000,top
"MX27","MX-NoLED","MXOnly-1.75U-NoLED",49.212500,-81.756218,0.000000,top
"MX28","MX-NoLED","MXOnly-1U-NoLED",75.406250,-81.756218,0.000000,top
"MX29","MX-NoLED","MXOnly-1U-NoLED",94.456250,-81.756218,0.000000,top
"MX30","MX-NoLED","MXOnly-1U-NoLED",113.506250,-81.756218,0.000000,top
"MX31","MX-NoLED","MXOnly-1U-NoLED",132.556250,-81.756218,0.000000,top
"MX32","MX-NoLED","MXOnly-1U-NoLED",151.606250,-81.756218,0.000000,top
"MX33","MX-NoLED","MXOnly-1U-NoLED",170.656250,-81.756250,0.000000,top
"MX34","MX-NoLED","MXOnly-1U-NoLED",189.706250,-81.756250,0.000000,top
"MX35","MX-NoLED","MXOnly-1U-NoLED",208.756250,-81.756218,0.000000,top
"MX36","MX-NoLED","MXOnly-1U-NoLED",227.806250,-81.756250,0.000000,top
"MX37","MX-NoLED","MXOnly-1U-NoLED",246.856250,-81.756250,0.000000,top
"MX38","MX-NoLED","MXOnly-1U-NoLED",265.906250,-81.756250,0.000000,top
"MX39","MX-NoLED","MXOnly-1.25U-NoLED",187.325000,-100.806250,0.000000,top
"MX40","MX-NoLED","MXOnly-1U-NoLED",208.756250,-100.806250,0.000000,top
"MX41","MX-NoLED","MXOnly-1U-NoLED",227.806250,-100.806250,0.000000,top
"MX42","MX-NoLED","MXOnly-1U-NoLED",246.856250,-100.806250,0.000000,top
"MX43","MX-NoLED","MXOnly-1U-NoLED",265.906250,-100.806250,0.000000,top
"MX44","MX-NoLED","MXOnly-1.25U-NoLED",44.450000,-100.806218,0.000000,top
"MX45","MX-NoLED","MXOnly-1U-NoLED",65.881250,-100.806218,0.000000,top
"MX46","MX-NoLED","MXOnly-1.25U-NoLED",87.312500,-100.806218,0.000000,top
"MX47","MX-NoLED","MXOnly-1.75U-NoLED",115.887500,-100.806250,0.000000,top
"MX48","MX-NoLED","MXOnly-2.25U-ReversedStabilizers-NoLED",153.987500,-100.806250,0.000000,top
"MX49","MX-NoLED","MXOnly-1.75U-NoLED",192.087500,-100.806250,0.000000,top
"MX50","MX-NoLED","MXOnly-1.25U-NoLED",220.662500,-100.806218,0.000000,top
"MX51","MX-NoLED","MXOnly-1U-NoLED",242.093750,-100.806250,0.000000,top
"MX52","MX-NoLED","MXOnly-1.25U-NoLED",263.525000,-100.806218,0.000000,top
"SW2","RotaryEncoder_Switch","RotaryEncoder_EC11-no-legs",39.593750,-81.462500,90.000000,top
